,TORNEO,CAMPEÓN,SUBCAMPEÓN,FINAL
0,Argentina 1916,URUGUAY,Argentina,-
1,Uruguay 1917,URUGUAY,Argentina,-
2,Brasil 1919,BRASIL,Uruguay,1-0
3,Chile 1920,URUGUAY,Argentina,-
4,Argentina 1921,ARGENTINA,Brasil,-
5,Brasil 1922,BRASIL,Paraguay,3-0
6,Uruguay 1923,URUGUAY,Argentina,-
7,Uruguay 1924,URUGUAY,Argentina,-
8,Argentina 1925,ARGENTINA,Brasil,-
9,Chile 1926,URUGUAY,Argentina,-
10,Perú 1927,ARGENTINA,Uruguay,-
11,Argentina 1929,ARGENTINA,Paraguay,2-1
12,Perú 1935,URUGUAY,Argentina,-
13,Argentina 1937,ARGENTINA,Brasil,2-0
14,Perú 1939,URUGUAY,Perú,-
15,Chile 1941,ARGENTINA,Uruguay,-
16,Uruguay 1942,URUGUAY,Argentina,-
17,Chile 1945,ARGENTINA,Brasil,-
18,Argentina 1946,ARGENTINA,Brasil,-
19,Ecuador 1947,ARGENTINA,Paraguay,-
20,Brasil 1949,BRASIL,Paraguay,7-0
21,Perú 1953,PARAGUAY,Brasil,3-2
22,Chile 1955,ARGENTINA,Chile,-
23,Uruguay 1956,URUGUAY,Chile,-
24,Perú 1957,ARGENTINA,Brasil,-
25,Argentina 1959,ARGENTINA,Brasil,-
26,Bolivia 1963,BOLIVIA,Paraguay,-
27,Uruguay 1967,URUGUAY,Argentina,-
28,1975,PERÚ,Colombia,0-1/2-0/1-0
29,1979,PARAGUAY,Chile,3-0/0-1/0-0
30,1983,URUGUAY,Brasil,2-0/1-1
31,Argentina 1987,URUGUAY,Chile,1-0
32,Brasil 1989,BRASIL,Uruguay,-
33,Chile 1991,ARGENTINA,Brasil,-
34,Ecuador 1993,ARGENTINA,México,2-1
35,Uruguay 1995,URUGUAY,Brasil,1-1 (5-3)
36,Bolivia 1997,BRASIL,Bolivia,3-1
37,Paraguay 1999,BRASIL,Uruguay,3-0
38,Colombia 2001,COLOMBIA,México,1-0
39,Perú 2004,BRASIL,Argentina,2-2 (4-2)
40,Venezuela 2007,BRASIL,Argentina,3-0
41,Argentina 2011,URUGUAY,Paraguay,3-0
42,Chile 2015,CHILE,Argentina,0-0 (4-1)
43,Estados Unidos 2016,CHILE,Argentina,0-0 (4-2)
44,Brasil 2019,BRASIL,Perú,3-1
45,Brasil 2021,ARGENTINA,Brasil,1-0
46,Estados Unidos 2024,ARGENTINA,Colombia,1-0
