,Año,Sede,Campeón,Subcampeón,Resultado
0,2024,Estados Unidos,Argentina,Colombia,1-0
1,2021,Brasil,Argentina,Brasil,1-0
2,2019,Brasil,Brasil,Perú,3-1
3,2016,Estados Unidos,Chile,Argentina,0-0 (4-2)
4,2015,Chile,Chile,Argentina,0-0 (4-1)
5,2011,Argentina,Uruguay,Paraguay,3-0
6,2007,Venezuela,Brasil,Argentina,3-0
7,2004,Perú,Brasil,Argentina,2-2 (4-2)
8,2001,Colombia,Colombia,México,1-0
9,1999,Paraguay,Brasil,Uruguay,3-0
10,1997,Bolivia,Brasil,Bolivia,3-1
11,1995,Uruguay,Uruguay,Brasil,1-1 (5-3)
12,1993,Ecuador,Argentina,México,2-1
13,1991,Chile,Argentina,Brasil,Liguilla
14,1989,Brasil,Brasil,Uruguay,Liguilla
15,1987,Argentina,Uruguay,Chile,1-0
16,1983,Sin sede,Uruguay,Brasil,"2-0, 1-1"
17,1983,Sin sede,Uruguay,Brasil,"2-0, 1-1"
18,1979,Sin sede,Paraguay,Chile,"3-0, 0-1, 0-0"
19,1975,Sin sede,Perú,Colombia,"0-1, 2-0, 1-0"
20,1967,Uruguay,Uruguay,Argentina,Liguilla
21,1963,Bolivia,Bolivia,Paraguay,Liguilla
22,1959,Ecuador,Uruguay,Argentina,Liguilla
23,1959,Argentina,Argentina,Brasil,Liguilla
24,1957,Perú,Argentina,Brasil,Liguilla
25,1956,Uruguay,Uruguay,Chile,Liguilla
26,1955,Chile,Argentina,Chile,Liguilla
27,1953,Perú,Paraguay,Brasil,3-2
28,1949,Brasil,Brasil,Paraguay,7-0
29,1947,Ecuador,Argentina,Paraguay,Liguilla
30,1946,Argentina,Argentina,Brasil,Liguilla
31,1945,Chile,Argentina,Brasil,Liguilla
32,1942,Uruguay,Uruguay,Argentina,Liguilla
33,1941,Chile,Argentina,Uruguay,Liguilla
34,1939,Perú,Perú,Uruguay,Liguilla
35,1937,Argentina,Argentina,Brasil,2-0
36,1935,Perú,Uruguay,Argentina,Liguilla
37,1929,Argentina,Argentina,Paraguay,Liguilla
38,1927,Perú,Argentina,Uruguay,Liguilla
39,1926,Chile,Uruguay,Argentina,Liguilla
40,1925,Argentina,Argentina,Brasil,Liguilla
41,1924,Uruguay,Uruguay,Argentina,Liguilla
42,1923,Uruguay,Uruguay,Argentina,Liguilla
43,1922,Brasil,Brasil,Paraguay,3-0
44,1921,Argentina,Argentina,Brasil,Liguilla
45,1920,Chile,Uruguay,Argentina,Liguilla
46,1919,Uruguay,Brasil,Uruguay,1-0
47,1917,Uruguay,Uruguay,Argentina,Liguilla
48,1916,Argentina,Uruguay,Argentina,Liguilla
